"Item","Description","Category","ProductCode","Amount"
"CTI TECH ON SITE","CTI tech on-site for calibration of up t","Service - Field Labor","LFTR","358847.30"
"GG-NH3-100","Gas Sensor, Ammonia 0-100 ppm, 4/20 mA o","Fixed Detectors - Ammonia","FNH3","354253.76"
"GG-NH3-RC","Replacement Electrochemical Cell, NH3, r","Sensor Elements - Ammonia","SNH3","157780.70"
"CAL ADD","Additional Sensor (above 12) onsite cali","Service - Field Labor","LFTR","143184.30"
"GG-VL2-NH3","Gas Sensor, Vent Line, catalytic-bead, A","Fixed Detectors - Ammonia","FNH3","97279.58"
"GG-NH3-250","Gas Sensor, Ammonia 0-250 ppm, 4/20 mA o","Fixed Detectors - Ammonia","FNH3","95428.80"
"AMERICOLD SA 2024-2026","Americold 3 year SA.  Flat rate per site","Service - Field Labor","LFTR","85187.72"
"TB17L CAL GAS","Certified Calibration Gas, 17L Cylinder,","Service - Gas","LGAS","85078.07"
"CTI TECH ON SITE - WEEKEND","CTI tech on-site for calibration of up t","Service - Field Labor","LFTR","78329.00"
"F1-NH3","Wingman F1 portable gas detector, Ammoni","Portable Detectors - Ammonia","PNH3","68135.75"
"DUOSENSE-M","Gas Sensor, Carbon Monoxide (0-200 ppm),","Fixed Detectors - CO/NO2","FDUO","66665.50"
"EM2-24","Gas Detection Entrance Monitor, White, L","Controllers - Main","CCTM","66494.05"
"RB34L-NH3/100","Certified Calibration Gas, 34L Cylinder,","Calibration Gas - Ammonia","GNH3","55271.60"
"GG-NH3-100-ST","Gas Sensor, Ammonia 0-100 ppm, 4/20 mA o","Fixed Detectors - Ammonia","FNH3","53572.60"
"RB17L-NH3/100","Certified Calibration Gas, 17L Cylinder,","Calibration Gas - Ammonia","GNH3","51147.30"
"GG-NH3-2%","Gas Sensor NH3, 0-2% range (0-20,000 ppm","Fixed Detectors - Ammonia","FNH3","50946.08"
"GG-CO2-3%","Gas Sensor, Carbon Dioxide 0-3 %, 4/20 m","Fixed Detectors - Carbon Dioxide","FCO2","48898.96"
"GG-6","Gas Detection Control Panel, Six-Channel","Controllers - Main","CCTM","45031.00"
"M255","Gas Detection Control Panel, GASMARK M25","Controllers - Main","CCTM","44371.25"
"CTI TECH ON SITE CONTR","CTI tech on-site for calibration of up t","Service - Field Labor","LFTR","39882.60"
"SHA-24-BLUE","Horn/Strobe 24VDC, white body, blue lens","Accessories - Audio/Visual","AAUV","38421.60"
"NH3-RESPONDER-ULTRA","Portable, BW Ultra with PID, LEL and O2","Portable Detectors - Ammonia","PNH3","37854.75"
"GG-NH3-0","Gas Transmitter, Ammonia (No Cell),0-50","Fixed Detectors - Ammonia","FNH3","29937.60"
"RB34L-NH3/250","Certified Calibration Gas, 34L Cylinder,","Calibration Gas - Ammonia","GNH3","29157.60"
"BW-SOLO-NH3","Portable, BW Solo for NH3 0-1,000ppm wit","Portable Detectors - Ammonia","PNH3","28649.60"
"MISCELLANEOUS ITEM",,"Buy Sell - Miscellaneous","LMSC","25666.89"
"SHA-PAX-110-24-BLUE","Horn/Strobe 24VDC, 117 dB, 80 tones with","Accessories - Audio/Visual","AAUV","22620.00"
"RB17L-NH3/250","Certified Calibration Gas, 17L Cylinder,","Calibration Gas - Ammonia","GNH3","20958.78"
"CAL PORTABLE - LITHIUM ION","Calibration Service - One Portable Unit","Service - In House Labor","LIHL","17946.80"
"CAL PORTABLE - LITHIUM METAL","Calibration Service - One Portable Unit","Service - In House Labor","LIHL","16038.20"
"RB17L-NH3/1%","Certified Calibration Gas, 17L Cylinder,","Calibration Gas - Ammonia","GNH3","14433.48"
"TB34L CAL GAS","Certified Calibration Gas, 34L Cylinder,","Service - Gas","LGAS","14353.40"
"BW-GAMXTII","GasAlert Max XTII,4-gas portable gas det","Portable Detectors - Multi-gas","PMLT","14310.00"
"RB17L-NH3/2%","Certified Calibration Gas, 17L Cylinder,","Calibration Gas - Ammonia","GNH3","14230.58"
"GG-NH3-500","Gas Sensor, Ammonia 0-500 ppm, 4/20 mA o","Fixed Detectors - Ammonia","FNH3","14202.80"
"GG-NH3-1000","Gas Sensor, Ammonia 0-1000 ppm, 4/20 mA","Fixed Detectors - Ammonia","FNH3","14114.80"
"GG-2","Gas Detection Control Panel, Two-Channel","Controllers - Main","CCTM","13535.45"
"RB34L-NH3/1%","Certified Calibration Gas, 34L Cylinder,","Calibration Gas - Ammonia","GNH3","13509.10"
"CAL PORTABLE","Calibration Service - One Portable Unit","Service - In House Labor","LIHL","12132.80"
"CTI TECH ON SITE CONTR - SPOTR","CTI tech on-site for calibration of up t","Service - Field Labor","LFTR","11770.20"
"EM2-120","Gas Detection Entrance Monitor, White, L","Controllers - Main","CCTM","11712.20"
"GG-VL2-NH3-RS","Replacement sensor element for GG-VL2-NH","Sensor Elements - Ammonia","SNH3","11541.60"
"GG-O2-C15","Gas Sensor, Oxygen 15-25%, rugged polyca","Fixed Detectors - Oxygen","FO2X","11124.50"
"GG-XM","GG-6 Expansion Module, Eight-Channel, An","Controllers - Accessories","CACC","10365.60"
"GG-CO2-5%-ST","Gas Sensor, Carbon Dioxide 0-5%, 4/20 mA","Fixed Detectors - Carbon Dioxide","FCO2","10205.00"
"GG-NH3-HR-RC","Replacement Electrochemical Cell, NH3, h","Sensor Elements - Ammonia","SNH3","10173.60"
"GG-RD1","GG-6 Remote Display, with terminating re","Controllers - Accessories","CACC","10119.20"
"GG-NH3-2%-RS","Replacement Catalytic Bead Sensor, NH3 s","Sensor Elements - Ammonia","SNH3","9853.00"
"GG-R507A-1000-ST","Gas Sensor, R507a 0-1000 PPM, 4/20 mA ou","Fixed Detectors - Synthetic","FSYR","9673.85"
"RB34L-NH3/2%","Certified Calibration Gas, 34L Cylinder,","Calibration Gas - Ammonia","GNH3","8950.20"
